x,y,z,predicted_z,difference
16.0858,29.0588,0,0.498991,0.498991
-42.5354,-48.1995,0,0,0
-32.9163,25.5981,0,0,0
38.1073,4.94385,0,0.37725,0.37725
0.881958,-40.3809,0,0.0252867,0.0252867
-49.884,-26.4435,0,-0.000390431,0.000390431
22.8982,-11.496,1.4604,1.52265,0.0622507
-12.3749,-28.1006,0,-0.831135,0.831135
24.2706,35.0098,0,-0.212885,0.212885
-10.1326,-9.67712,-5.46146,-5.26814,0.193316
-24.472,48.526,0,0,0
14.0137,47.3236,0,0.0572447,0.0572447
46.4264,12.8174,0,-0.0517495,0.0517495
19.821,-6.86035,4.04323,3.34458,0.698646
-40.7745,-18.4601,0,0.10082,0.10082
-18.1091,43.4204,0,0,0
38.1378,-43.1641,0,0.0113766,0.0113766
-11.9873,-47.3541,0,0.327603,0.327603
24.4263,-14.4501,0,0.930621,0.930621
-41.4429,38.3087,0,0,0
-40.8539,-5.2002,0,-0.297216,0.297216
-20.3217,48.5046,0,0,0
36.4014,4.58679,0.470419,0.324076,0.146343
30.0728,-7.39441,1.34927,1.00547,0.343799
-48.0957,-28.4393,0,0.010048,0.010048
-22.702,30.2155,0,0,0
40.1276,-29.01,0,-0.158328,0.158328
-13.9313,21.7285,0,0.223411,0.223411
-49.2706,-37.2253,0,0,0
34.1339,-10.8459,0,0.342083,0.342083
-46.5149,-49.1425,0,0,0
16.0699,-1.41296,5.88174,3.5106,2.37115
-47.4365,6.72302,0,-0.00229405,0.00229405
-12.7319,44.9432,0,0,0
-28.4712,2.0813,-2.76679,-1.93158,0.835211
14.8132,-42.5629,0,0,0
-22.9767,-13.9984,0,-2.41445,2.41445
-36.2356,0.973511,-0.912704,-1.03673,0.124021
-7.9834,-1.34888,-7.88618,-2.40329,5.48289
-3.5905,-14.679,-4.29477,-2.48019,1.81457
3.96715,14.8102,4.10671,-0.301938,4.40865
-26.7181,39.7339,0,0,0
-15.1643,-8.78601,-4.56696,-4.06845,0.498503
16.0767,-24.353,0,-0.472029,0.472029
-41.6168,33.5419,0,0,0
-32.1381,35.7544,0,0,0
6.32629,-45.9625,0,-0.00370152,0.00370152
-42.8864,8.78906,0,-0.346802,0.346802
32.1777,-46.637,0,0.0151894,0.0151894
13.4701,15.2863,1.40007,3.59352,2.19345
