x,y,z,predicted_z,difference
-40.8539,-5.2002,0,-0.271128,0.271128
-20.3217,48.5046,0,0,0
-47.4365,6.72302,0,0.0370918,0.0370918
46.4264,12.8174,0,-0.0455864,0.0455864
-15.1643,-8.78601,-4.56696,-4.05836,0.508594
-22.9767,-13.9984,0,-2.74713,2.74713
-46.5149,-49.1425,0,0,0
40.1276,-29.01,0,-0.211126,0.211126
-12.3749,-28.1006,0,-1.55067,1.55067
-3.5905,-14.679,-4.29477,-3.26712,1.02764
38.1378,-43.1641,0,0.0196829,0.0196829
36.4014,4.58679,0.470419,0.431528,0.0388907
-28.4712,2.0813,-2.76679,-1.49308,1.27371
-7.9834,-1.34888,-7.88618,-2.81184,5.07433
-48.0957,-28.4393,0,0.0130277,0.0130277
22.8982,-11.496,1.4604,1.52265,0.0622507
-11.9873,-47.3541,0,0.179584,0.179584
-32.9163,25.5981,0,0,0
0.881958,-40.3809,0,0.00648505,0.00648505
-41.4429,38.3087,0,0,0
-24.472,48.526,0,0,0
16.0699,-1.41296,5.88174,3.5106,2.37115
14.0137,47.3236,0,0.0572447,0.0572447
-41.6168,33.5419,0,0,0
38.1073,4.94385,0,0.380868,0.380868
-18.1091,43.4204,0,0,0
-42.8864,8.78906,0,-0.339777,0.339777
32.1777,-46.637,0,0,0
-49.2706,-37.2253,0,0,0
13.4701,15.2863,1.40007,3.59352,2.19345
-49.884,-26.4435,0,0.0175493,0.0175493
-32.1381,35.7544,0,0,0
24.4263,-14.4501,0,0.930593,0.930593
19.821,-6.86035,4.04323,3.37041,0.672816
-40.7745,-18.4601,0,0.0847497,0.0847497
-22.702,30.2155,0,0,0
16.0858,29.0588,0,0.615828,0.615828
24.2706,35.0098,0,0.206148,0.206148
-36.2356,0.973511,-0.912704,-0.992101,0.0793976
-13.9313,21.7285,0,0.223411,0.223411
14.8132,-42.5629,0,0,0
6.32629,-45.9625,0,0.0519851,0.0519851
3.96715,14.8102,4.10671,-0.301938,4.40865
30.0728,-7.39441,1.34927,1.14388,0.205381
34.1339,-10.8459,0,0.264441,0.264441
-42.5354,-48.1995,0,0,0
-12.7319,44.9432,0,0,0
-26.7181,39.7339,0,0,0
16.0767,-24.353,0,-0.472029,0.472029
-10.1326,-9.67712,-5.46146,-5.18671,0.27475
