x,y,z,predicted_z,difference
-40.8539,-5.2002,0,-0.188919,0.188919
-47.4365,6.72302,0,0.0229935,0.0229935
32.1777,-46.637,0,0,0
38.1073,4.94385,0,0.37725,0.37725
-40.7745,-18.4601,0,0.15023,0.15023
-32.9163,25.5981,0,0,0
0.881958,-40.3809,0,0.0252867,0.0252867
-49.2706,-37.2253,0,0,0
30.0728,-7.39441,1.34927,1.14388,0.205381
34.1339,-10.8459,0,0.264441,0.264441
14.0137,47.3236,0,0.000530361,0.000530361
24.4263,-14.4501,0,0.930621,0.930621
24.2706,35.0098,0,-0.0423712,0.0423712
-7.9834,-1.34888,-7.88618,-2.74388,5.1423
-3.5905,-14.679,-4.29477,-2.67607,1.61869
-22.702,30.2155,0,0,0
38.1378,-43.1641,0,0.0196829,0.0196829
3.96715,14.8102,4.10671,-0.301938,4.40865
-28.4712,2.0813,-2.76679,-2.14322,0.62357
-41.4429,38.3087,0,0,0
-49.884,-26.4435,0,0.014326,0.014326
14.8132,-42.5629,0,0,0
-42.5354,-48.1995,0,0,0
36.4014,4.58679,0.470419,0.431528,0.0388907
-13.9313,21.7285,0,-0.0253831,0.0253831
-22.9767,-13.9984,0,-2.14496,2.14496
-24.472,48.526,0,0,0
19.821,-6.86035,4.04323,3.38719,0.656041
16.0767,-24.353,0,-0.642284,0.642284
-48.0957,-28.4393,0,0.00316258,0.00316258
-46.5149,-49.1425,0,0,0
46.4264,12.8174,0,-0.0455864,0.0455864
-15.1643,-8.78601,-4.56696,-4.07501,0.491945
-12.3749,-28.1006,0,-0.845353,0.845353
-42.8864,8.78906,0,-0.339777,0.339777
-18.1091,43.4204,0,0,0
-20.3217,48.5046,0,0,0
22.8982,-11.496,1.4604,1.52265,0.0622507
-36.2356,0.973511,-0.912704,-0.992101,0.0793976
13.4701,15.2863,1.40007,3.59352,2.19345
-32.1381,35.7544,0,0,0
-11.9873,-47.3541,0,0.327603,0.327603
40.1276,-29.01,0,-0.211126,0.211126
-12.7319,44.9432,0,0,0
-41.6168,33.5419,0,0,0
16.0699,-1.41296,5.88174,3.5106,2.37115
16.0858,29.0588,0,0.794709,0.794709
6.32629,-45.9625,0,0.00116131,0.00116131
-26.7181,39.7339,0,0,0
-10.1326,-9.67712,-5.46146,-5.23946,0.221998
