x,y,z,predicted_z,difference
-49.884,-26.4435,0,-0.000390431,0.000390431
38.1378,-43.1641,0,0.0196829,0.0196829
-41.6168,33.5419,0,0,0
38.1073,4.94385,0,0.365261,0.365261
30.0728,-7.39441,1.34927,1.02018,0.329081
-18.1091,43.4204,0,0,0
16.0858,29.0588,0,0.520728,0.520728
24.4263,-14.4501,0,0.930621,0.930621
-13.9313,21.7285,0,0.0840426,0.0840426
-3.5905,-14.679,-4.29477,-3.08212,1.21264
16.0699,-1.41296,5.88174,3.5106,2.37115
-22.702,30.2155,0,0,0
14.0137,47.3236,0,0.0572447,0.0572447
-32.9163,25.5981,0,0,0
-40.7745,-18.4601,0,0.10082,0.10082
-22.9767,-13.9984,0,-2.14496,2.14496
-20.3217,48.5046,0,0,0
-11.9873,-47.3541,0,0.195063,0.195063
46.4264,12.8174,0,-0.0455864,0.0455864
-41.4429,38.3087,0,0,0
14.8132,-42.5629,0,0,0
-32.1381,35.7544,0,0,0
36.4014,4.58679,0.470419,0.431528,0.0388907
-28.4712,2.0813,-2.76679,-1.84924,0.917551
-15.1643,-8.78601,-4.56696,-4.01163,0.555326
-42.5354,-48.1995,0,0,0
-26.7181,39.7339,0,0,0
16.0767,-24.353,0,-0.69686,0.69686
0.881958,-40.3809,0,-0.084034,0.084034
13.4701,15.2863,1.40007,3.59352,2.19345
22.8982,-11.496,1.4604,1.52265,0.0622507
40.1276,-29.01,0,-0.419254,0.419254
-10.1326,-9.67712,-5.46146,-3.99695,1.46451
-7.9834,-1.34888,-7.88618,-2.39537,5.49081
-48.0957,-28.4393,0,0.0130277,0.0130277
-46.5149,-49.1425,0,0,0
-47.4365,6.72302,0,-0.423759,0.423759
-42.8864,8.78906,0,-0.626134,0.626134
32.1777,-46.637,0,0,0
-36.2356,0.973511,-0.912704,-1.06399,0.151283
-24.472,48.526,0,0,0
3.96715,14.8102,4.10671,-0.348365,4.45507
-12.7319,44.9432,0,0,0
24.2706,35.0098,0,-0.026932,0.026932
-49.2706,-37.2253,0,0,0
-40.8539,-5.2002,0,-0.423978,0.423978
6.32629,-45.9625,0,0.0862275,0.0862275
-12.3749,-28.1006,0,-0.844,0.844
19.821,-6.86035,4.04323,3.34442,0.698808
34.1339,-10.8459,0,0.420591,0.420591
