x,y,z,predicted_z,difference
14.8132,-42.5629,0,0,0
-24.472,48.526,0,0,0
40.1276,-29.01,0,-0.417773,0.417773
-15.1643,-8.78601,-4.56696,-4.06845,0.498503
-32.9163,25.5981,0,0,0
-47.4365,6.72302,0,-0.29636,0.29636
22.8982,-11.496,1.4604,1.52265,0.0622507
-42.8864,8.78906,0,-0.471897,0.471897
0.881958,-40.3809,0,0.0252867,0.0252867
-13.9313,21.7285,0,-0.0253831,0.0253831
-32.1381,35.7544,0,0,0
-20.3217,48.5046,0,0,0
36.4014,4.58679,0.470419,0.431528,0.0388907
32.1777,-46.637,0,0,0
-7.9834,-1.34888,-7.88618,-2.83307,5.0531
16.0858,29.0588,0,0.498991,0.498991
38.1378,-43.1641,0,0.0196829,0.0196829
-11.9873,-47.3541,0,0.327603,0.327603
38.1073,4.94385,0,0.37725,0.37725
-41.4429,38.3087,0,0,0
14.0137,47.3236,0,0.000530361,0.000530361
24.2706,35.0098,0,-0.0423712,0.0423712
-10.1326,-9.67712,-5.46146,-5.18671,0.27475
-40.7745,-18.4601,0,0.10082,0.10082
30.0728,-7.39441,1.34927,1.023,0.326269
-40.8539,-5.2002,0,-0.423978,0.423978
6.32629,-45.9625,0,0.0176523,0.0176523
46.4264,12.8174,0,-0.00550339,0.00550339
16.0767,-24.353,0,-0.574512,0.574512
34.1339,-10.8459,0,0.372964,0.372964
-22.9767,-13.9984,0,-2.67656,2.67656
-18.1091,43.4204,0,0,0
16.0699,-1.41296,5.88174,3.5106,2.37115
-22.702,30.2155,0,0,0
-12.3749,-28.1006,0,-1.86004,1.86004
-49.884,-26.4435,0,0.0271015,0.0271015
-42.5354,-48.1995,0,0,0
-26.7181,39.7339,0,0,0
24.4263,-14.4501,0,0.930621,0.930621
-36.2356,0.973511,-0.912704,-0.992101,0.0793976
-46.5149,-49.1425,0,0,0
3.96715,14.8102,4.10671,-0.287022,4.39373
-28.4712,2.0813,-2.76679,-2.14322,0.62357
19.821,-6.86035,4.04323,3.34458,0.698646
13.4701,15.2863,1.40007,1.54609,0.146025
-12.7319,44.9432,0,0,0
-41.6168,33.5419,0,0,0
-49.2706,-37.2253,0,0,0
-3.5905,-14.679,-4.29477,-3.08212,1.21264
-48.0957,-28.4393,0,0.0106221,0.0106221
