x,y,z,predicted_z,difference
-49.884,-26.4435,0,0.014326,0.014326
-42.5354,-48.1995,0,0,0
-15.1643,-8.78601,-4.56696,-3.68524,0.881715
-7.9834,-1.34888,-7.88618,-2.77994,5.10624
-41.6168,33.5419,0,0,0
-24.472,48.526,0,0,0
-20.3217,48.5046,0,0,0
46.4264,12.8174,0,-0.016947,0.016947
-49.2706,-37.2253,0,0,0
13.4701,15.2863,1.40007,3.59352,2.19345
-46.5149,-49.1425,0,0,0
-22.702,30.2155,0,0,0
22.8982,-11.496,1.4604,1.51574,0.0553448
36.4014,4.58679,0.470419,0.358321,0.112098
-13.9313,21.7285,0,0.223411,0.223411
3.96715,14.8102,4.10671,-0.301938,4.40865
32.1777,-46.637,0,0,0
-32.9163,25.5981,0,0,0
-41.4429,38.3087,0,0,0
-40.7745,-18.4601,0,0.10082,0.10082
-40.8539,-5.2002,0,-0.287891,0.287891
14.0137,47.3236,0,0.000530361,0.000530361
40.1276,-29.01,0,-0.211126,0.211126
-42.8864,8.78906,0,-0.347198,0.347198
24.2706,35.0098,0,-0.0423712,0.0423712
16.0699,-1.41296,5.88174,3.5106,2.37115
16.0858,29.0588,0,0.794709,0.794709
6.32629,-45.9625,0,0.00116131,0.00116131
-28.4712,2.0813,-2.76679,-2.14322,0.62357
-48.0957,-28.4393,0,0.0130277,0.0130277
38.1378,-43.1641,0,0.00643175,0.00643175
-26.7181,39.7339,0,0,0
24.4263,-14.4501,0,0.920608,0.920608
-3.5905,-14.679,-4.29477,-3.08212,1.21264
30.0728,-7.39441,1.34927,1.09363,0.255635
-22.9767,-13.9984,0,-2.14496,2.14496
16.0767,-24.353,0,-0.69686,0.69686
-36.2356,0.973511,-0.912704,-1.03673,0.124021
38.1073,4.94385,0,0.37725,0.37725
0.881958,-40.3809,0,-0.084034,0.084034
14.8132,-42.5629,0,0,0
-18.1091,43.4204,0,0,0
-11.9873,-47.3541,0,0.228313,0.228313
19.821,-6.86035,4.04323,3.34458,0.698646
-10.1326,-9.67712,-5.46146,-5.18671,0.27475
-32.1381,35.7544,0,0,0
-47.4365,6.72302,0,0.126448,0.126448
-12.7319,44.9432,0,0,0
-12.3749,-28.1006,0,-0.873273,0.873273
34.1339,-10.8459,0,0.372964,0.372964
