x,y,z,predicted_z,difference
-49.884,-26.4435,0,0,0
-22.9767,-13.9984,0,-1.60843,1.60843
-42.5354,-48.1995,0,0,0
22.8982,-11.496,1.4604,1.44756,0.0128335
-15.1643,-8.78601,-4.56696,-4.51101,0.0559447
24.4263,-14.4501,0,0.407418,0.407418
30.9631,48.0652,0,0,0
-47.0215,49.2645,0,0,0
-27.536,38.9069,0,0,0
-40.7867,23.1628,0,0,0
38.1378,-43.1641,0,0,0
3.96715,14.8102,4.10671,4.34549,0.238778
-11.9873,-47.3541,0,0,0
36.4014,4.58679,0.470419,0.443478,0.0269409
46.4264,12.8174,0,0,0
13.4701,15.2863,1.40007,3.8915,2.49143
45.3644,22.1313,0,0,0
29.7944,9.87549,0.512907,1.52979,1.01688
-0.152588,-31.7871,0,0.149361,0.149361
-23.8403,37.4359,0,0,0
16.0699,-1.41296,5.88174,4.83026,1.05148
-22.702,30.2155,0,0,0
16.0858,29.0588,0,0.74135,0.74135
-28.4712,2.0813,-2.76679,-2.46067,0.306117
-26.7181,39.7339,0,0,0
-39.1205,26.8768,0,0,0
-14.3951,38.9893,0,0,0
-11.3048,-7.2113,-6.04861,-5.76589,0.282719
3.88266,-14.9231,4.04495,4.43871,0.393762
42.2058,24.9237,0,0.0264158,0.0264158
-12.7319,44.9432,0,0,0
32.1777,-46.637,0,0,0
-7.9834,-1.34888,-7.88618,-7.06334,0.822834
-13.9313,21.7285,0,-0.51504,0.51504
-49.2706,-37.2253,0,0,0
-40.7745,-18.4601,0,0,0
36.2244,36.8835,0,0,0
-23.2022,13.5437,-0.210804,-1.02022,0.809412
-30.3589,-47.8058,0,0,0
1.92261,-44.5099,0,0,0
-20.3217,48.5046,0,0,0
-12.3749,-28.1006,0,-0.854022,0.854022
-41.4429,38.3087,0,0,0
-29.2145,-13.1897,0,-0.57265,0.57265
-49.6368,7.2113,0,0,0
42.3096,48.1323,0,0,0
-30.5054,14.8651,0,-0.34082,0.34082
-25.1063,0.332642,-3.68313,-3.21338,0.469749
47.6593,-31.9122,0,0,0
-22.2809,17.9901,0,-0.0207849,0.0207849
14.8132,-42.5629,0,0,0
-46.5149,-49.1425,0,0,0
6.32629,-45.9625,0,0,0
-10.1326,-9.67712,-5.46146,-5.41593,0.045535
0.881958,-40.3809,0,0,0
-4.08325,27.9144,0,0,0
-24.4326,-3.97949,-3.53651,-3.29873,0.237787
-44.1711,-15.0513,0,0,0
-39.4806,7.49512,0,-0.364239,0.364239
32.3863,-2.58484,1.75133,0.85775,0.89358
-24.472,48.526,0,0,0
-32.1381,35.7544,0,0,0
-42.8864,8.78906,0,0.00520108,0.00520108
19.821,-6.86035,4.04323,3.5672,0.476031
16.0767,-24.353,0,0.893698,0.893698
-3.5905,-14.679,-4.29477,-4.20628,0.0884887
34.1339,-10.8459,0,0.93919,0.93919
-38.3331,14.3738,0,0.0624472,0.0624472
32.1899,-6.47278,1.08879,1.31034,0.221547
29.9683,-31.1798,0,0,0
-47.4365,6.72302,0,0,0
40.1276,-29.01,0,0,0
-32.9163,25.5981,0,0,0
30.0728,-7.39441,1.34927,1.23433,0.114935
24.062,-12.6587,0.537184,0.811725,0.27454
-2.33459,28.5126,0,-3.43415e-011,3.43415e-011
-11.2427,24.2279,0,0,0
-19.1376,-46.3898,0,0,0
4.69901,-11.1115,6.15657,6.36606,0.209489
13.6036,-8.87756,4.91892,4.25049,0.668429
14.0137,47.3236,0,0,0
24.2706,35.0098,0,0,0
38.1073,4.94385,0,0.383939,0.383939
-48.0957,-28.4393,0,0,0
-5.87769,39.3311,0,1.26287e-011,1.26287e-011
49.4293,-48.6725,0,0,0
-44.6045,-21.7896,0,0,0
44.0155,39.4043,0,0,0
22.1436,-46.759,0,0,0
25.7324,31.0425,0,0.0398423,0.0398423
-18.1091,43.4204,0,0,0
-40.8539,-5.2002,0,-0.361158,0.361158
-36.2356,0.973511,-0.912704,-0.98334,0.0706364
-41.6168,33.5419,0,0,0
-4.46167,19.5007,0,-1.70989,1.70989
3.479,-39.0839,0,0,0
31.8298,-20.575,0,0,0
-19.9482,-3.22266,-4.75518,-4.24853,0.506647
-7.25175,-13.8641,-3.94972,-4.36656,0.416845
46.6614,25.824,0,0,0
